time,avg_power_demand_W,energy_demand_kWh,peak_power_W,day,month
2021-02-08,712.0833333333334,17.09,13672.0,Monday,February
2021-02-09,701.875,16.845,13476.0,Tuesday,February
2021-02-10,1774.0555555555557,42.577333333333335,13464.0,Wednesday,February
2021-02-11,3664.5694444444443,87.94966666666667,26668.0,Thursday,February
2021-02-12,7465.152777777777,179.16366666666667,41120.0,Friday,February
2021-02-13,0.0,0.0,0.0,Saturday,February
2021-02-14,4355.944444444444,104.54266666666666,27580.0,Sunday,February
2021-02-15,6578.958333333333,157.895,27460.0,Monday,February
2021-02-16,1445.0555555555557,34.681333333333335,16452.0,Tuesday,February
2021-02-17,4047.4861111111113,97.13966666666667,27956.0,Wednesday,February
2021-02-18,797.5833333333334,19.142000000000003,13512.0,Thursday,February
2021-02-19,1451.0416666666667,34.825,27860.0,Friday,February
2021-02-20,0.0,0.0,0.0,Saturday,February
2021-02-21,0.0,0.0,0.0,Sunday,February
2021-02-22,4879.791666666667,117.115,27360.0,Monday,February
2021-02-23,7805.694444444444,187.33666666666667,27416.0,Tuesday,February
2021-02-24,3805.097222222222,91.32233333333333,27392.0,Wednesday,February
2021-02-25,1742.0277777777778,41.80866666666667,13684.0,Thursday,February
2021-02-26,3127.0416666666665,75.04899999999999,27944.0,Friday,February
2021-02-27,1927.0416666666667,46.248999999999995,26428.0,Saturday,February
2021-02-28,0.0,0.0,0.0,Sunday,February
2021-03-01,12686.972222222223,304.4873333333333,58748.0,Monday,March
2021-03-02,471.25,11.31,13572.0,Tuesday,March
2021-03-03,2758.0694444444443,66.19366666666667,14124.0,Wednesday,March
2021-03-04,5763.666666666667,138.328,40172.0,Thursday,March
2021-03-05,6833.777777777777,164.01066666666665,82172.0,Friday,March
2021-03-06,0.0,0.0,0.0,Saturday,March
2021-03-07,0.0,0.0,0.0,Sunday,March
2021-03-08,7513.513888888889,180.32433333333333,41516.0,Monday,March
2021-03-09,2434.7361111111113,58.43366666666666,26968.0,Tuesday,March
2021-03-10,3671.472222222222,88.11533333333334,27264.0,Wednesday,March
2021-03-11,4488.819444444444,107.73166666666665,53256.0,Thursday,March
2021-03-12,1993.4444444444443,47.842666666666666,26664.0,Friday,March
2021-03-13,3774.7916666666665,90.595,43284.0,Saturday,March
2021-03-14,0.0,0.0,0.0,Sunday,March
2021-03-15,2065.722222222222,49.577333333333335,26320.0,Monday,March
2021-03-16,4127.444444444444,99.05866666666667,26136.0,Tuesday,March
2021-03-17,1776.8333333333333,42.644,13580.0,Wednesday,March
2021-03-18,4937.902777777777,118.50966666666666,56620.0,Thursday,March
2021-03-19,6150.041666666667,147.601,30744.0,Friday,March
2021-03-20,1911.0,45.864,26208.0,Saturday,March
2021-03-21,0.0,0.0,0.0,Sunday,March
2021-03-22,3261.8194444444443,78.28366666666666,39564.0,Monday,March
2021-03-23,1090.1666666666667,26.164,26164.0,Tuesday,March
2021-03-24,12189.416666666666,292.546,53120.0,Wednesday,March
2021-03-25,13913.194444444445,333.9166666666667,119208.0,Thursday,March
2021-03-26,10794.680555555555,259.07233333333335,54876.0,Friday,March
2021-03-27,2375.3888888888887,57.00933333333334,26312.0,Saturday,March
2021-03-28,0.0,0.0,0.0,Sunday,March
2021-03-29,17888.13888888889,429.31533333333334,55372.0,Monday,March
2021-03-30,1735.986111111111,41.66366666666667,13592.0,Tuesday,March
2021-03-31,4670.277777777777,112.08666666666667,53784.0,Wednesday,March
2021-04-01,17322.51388888889,415.74033333333335,81636.0,Thursday,April
2021-04-02,6761.930555555556,162.28633333333332,27832.0,Friday,April
2021-04-03,0.0,0.0,0.0,Saturday,April
2021-04-04,0.0,0.0,0.0,Sunday,April
2021-04-05,9758.138888888889,234.19533333333334,54736.0,Monday,April
2021-04-06,12593.416666666666,302.242,86576.0,Tuesday,April
2021-04-07,3550.222222222222,85.20533333333334,40212.0,Wednesday,April
2021-04-08,8846.805555555555,212.32333333333332,54088.0,Thursday,April
2021-04-09,9924.041666666666,238.177,55176.0,Friday,April
2021-04-10,0.0,0.0,0.0,Saturday,April
2021-04-11,0.0,0.0,0.0,Sunday,April
2021-04-12,16234.319444444445,389.6236666666667,83400.0,Monday,April
2021-04-13,10807.583333333334,259.382,79464.0,Tuesday,April
2021-04-14,19147.083333333332,459.53,108800.0,Wednesday,April
2021-04-15,14828.638888888889,355.88733333333334,106488.0,Thursday,April
2021-04-16,6886.819444444444,165.28366666666668,106944.0,Friday,April
2021-04-17,4887.319444444444,117.29566666666666,27932.0,Saturday,April
2021-04-18,0.0,0.0,0.0,Sunday,April
2021-04-19,20136.569444444445,483.2776666666667,82328.0,Monday,April
2021-04-20,1042.5555555555557,25.02133333333333,13648.0,Tuesday,April
2021-04-21,0.0,0.0,0.0,Wednesday,April
2021-04-22,9353.722222222223,224.48933333333332,26672.0,Thursday,April
2021-04-23,5039.652777777777,120.95166666666665,53748.0,Friday,April
2021-04-24,989.8611111111111,23.756666666666668,26736.0,Saturday,April
2021-04-25,0.0,0.0,0.0,Sunday,April
2021-04-26,15471.402777777777,371.3136666666667,54856.0,Monday,April
2021-04-27,2441.1111111111113,58.586666666666666,22672.0,Tuesday,April
2021-04-28,16859.416666666668,404.626,81696.0,Wednesday,April
2021-04-29,25447.083333333332,610.73,106960.0,Thursday,April
2021-04-30,6715.444444444444,161.17066666666665,27944.0,Friday,April
2021-05-01,2036.2222222222222,48.86933333333334,26656.0,Saturday,May
2021-05-02,0.0,0.0,0.0,Sunday,May
2021-05-03,2570.625,61.695,26872.0,Monday,May
2021-05-04,13055.5,313.332,59576.0,Tuesday,May
2021-05-05,1669.9166666666667,40.077999999999996,13532.0,Wednesday,May
2021-05-06,13611.833333333334,326.684,53316.0,Thursday,May
2021-05-07,4387.347222222223,105.29633333333334,58596.0,Friday,May
2021-05-08,4826.583333333333,115.838,27256.0,Saturday,May
2021-05-09,0.0,0.0,0.0,Sunday,May
2021-05-10,7923.5,190.16400000000002,36808.0,Monday,May
2021-05-11,16139.888888888889,387.3573333333333,54752.0,Tuesday,May
2021-05-12,10079.680555555555,241.91233333333335,40032.0,Wednesday,May
2021-05-13,13216.791666666666,317.203,53908.0,Thursday,May
